Ref,Val,Package,PosX,PosY,Rot,Side
"OK1-OK2","PC817","",66.000000,-66.000000,0.000000,top
"U1","ESP32-S3 module","",20.000000,-20.000000,0.000000,top
"U2","DWM3000","",88.000000,-24.000000,0.000000,top
"U3","4-bit bidirectional","",76.000000,-36.000000,0.000000,top
"U6","5V isolated","",38.000000,-18.000000,0.000000,top
